Dhaula Kuan / A.R.S.D. College,5:20,0:00,0:00
Satya Niketan,5:21,5:20,0:01
Moti Bagh Gurudwara Nanakpura,5:23,5:21,0:02
South Moti Bagh,5:25,5:23,0:02
R.K. Puram Sector 9,5:26,5:25,0:01
R.K. Puram Sector 12 / Sangam Cinema,5:28,5:26,0:02
R.K Puram Sector 10,5:30,5:28,0:02
Mohan Singh Market,5:32,5:30,0:02
R.K. Puram Sector 2,5:36,5:32,0:04
R.K. Puram Sector 1,5:38,5:36,0:02
R.K. Puram / N.A.B.,5:39,5:38,0:01
Munirka,5:43,5:39,0:04
Munirka / Family Planning Association of India,5:45,5:43,0:02
D.D.A. Flats Munirka / Family Planning Association of India,5:47,5:45,0:02
I.S.T.M.,5:48,5:47,0:01
Ber Sarai,5:50,5:48,0:02
School of Physical Science,5:51,5:50,0:01
F.A.I.,5:55,5:51,0:04
Sanskrit Vidyapeeth,5:56,5:55,0:01
Katwaria Sarai,5:58,5:56,0:02
Qutub Hotel,6:02,5:58,0:04
NCERT,6:05,6:02,0:03
Adhchini Village,6:09,6:05,0:04
The Mothers International School,6:10,6:09,0:01
I.I.T. Gate,6:12,6:10,0:02
Sarvapriya Vihar,6:13,6:12,0:01
Panchsheel Enclave,6:15,6:13,0:02
Swami Nagar,6:16,6:15,0:01
Masjid Moth,6:17,6:16,0:01
O.S. Communication,6:18,6:17,0:01
Pamposh Enclave,6:20,6:18,0:02
Nehru Place,6:21,6:20,0:01
Paras Cinema,6:22,6:21,0:01
Kalkaji Temple,6:23,6:22,0:01
Govind Puri Metro Station,6:24,6:23,0:01
Kalkaji Depot,6:26,6:24,0:02
C Lal Chowk,6:27,6:26,0:01
Okhla Phase 1,6:30,6:27,0:03
Tughlakabad Crossing,6:31,6:30,0:01
Tehkhand Depot,6:32,6:31,0:01
Prem Nagar,6:33,6:32,0:01
Lal Kuan,6:34,6:33,0:01
Suraj Kund Crossing,6:35,6:34,0:01
Prahlad Pur,6:37,6:35,0:02
Rajiv Gandhi Stadium,6:39,6:37,0:02
Jaitpur Crossing,6:40,6:39,0:01
Badarpur Border,6:41,6:40,0:01
