1,Dhaula Kuan / A.R.S.D. College,6:30,0:00,0:00
2,Satya Niketan,6:31,6:30,0:01
3,Moti Bagh Gurudwara Nanakpura,6:32,6:31,0:01
4,South Moti Bagh,6:35,6:32,0:03
5,R.K. Puram Sector 12,6:36,6:35,0:01
6,R.K. Puram Sector 12 / Sangam Cinema,6:37,6:36,0:01
7,R.K. Puram Sector 10,6:38,6:37,0:01
8,Mohan Singh Market,6:40,6:38,0:02
9,R.K. Puram Sector 2,6:41,6:40,0:01
10,R.K. Puram Sector 1,6:42,6:41,0:01
11,R.K. Puram / N.A.B.,6:43,6:42,0:01
12,Munirka,6:44,6:43,0:01
13,Munirka / Family Planning Association of India,6:45,6:44,0:01
14,D.D.A. Flats Munirka,6:46,6:45,0:01
15,I.S.T.M.,6:48,6:46,0:02
16,Ber Sarai,6:49,6:48,0:01
17,School of Physical Science,6:50,6:49,0:01
18,F.A.I.,6:51,6:50,0:01
19,Sanskrit Vidyapeeth,6:53,6:51,0:02
20,Katwaria Sarai,6:54,6:53,0:01
21,Qutub Hotel,6:55,6:54,0:01
22,NCERT,6:57,6:55,0:02
23,Adhchini Village,6:58,6:57,0:01
24,The Mothers International School,6:59,6:58,0:01
25,I I T Gate,7:01,6:59,0:02
26,Sarvapriya Vihar,7:02,7:01,0:01
27,Panchsheel Enclave,7:05,7:02,0:03
28,Swami Nagar,7:09,7:05,0:04
29,Masjid Moth,7:13,7:09,0:04
30,OS Communication,7:15,7:13,0:02
31,Pamposh Enclave,7:16,7:15,0:01
32,Nehru Place,7:20,7:16,0:04
33,Paras Cinema,7:21,7:20,0:01
34,Kalkaji Temple,7:23,7:21,0:02
35,Govind Puri Metro Station,7:24,7:23,0:01
36,Kalkaji Depot,7:27,7:24,0:03
37,C Lal Chowk,7:29,7:27,0:02
38,Okhla Phase 1,7:35,7:29,0:06
39,Tuglakabad Crossing,7:37,7:35,0:02
40,Tehkhand Depot,7:39,7:37,0:02
41,Prem Nagar,7:41,7:39,0:02
42,Lal Kuan,7:43,7:41,0:02
43,Suraj Kund Crossing,7:45,7:43,0:02
44,Prahlad Pur,7:47,7:45,0:02
45,Rajiv Gandhi Stadium,7:49,7:47,0:02
46,Jaitpur Crossing,7:50,7:49,0:01
47,Badarpur Border,7:52,7:50,0:02
