1,Dhaula Kuan / A.R.S.D. College,22:20,0:00,0:00
2,Satya Niketan,22:21,22:20,0:01
3,Moti Bagh Gurudwara Nanakpura,22:23,22:21,0:02
4,South Moti Bagh,22:25,22:23,0:02
5,R.K. Puram Sector 9,22:26,22:25,0:01
6,R.K. Puram Sector 12 / Sangam Cinema,22:28,22:26,0:02
7,R.K Puram Sector 10,22:30,22:28,0:02
8,Mohan Singh Market,22:32,22:30,0:02
9,R.K. Puram Sector 2,22:36,22:32,0:04
10,R.K. Puram Sector 1,22:38,22:36,0:02
11,R.K. Puram / N.A.B.,22:39,22:38,0:01
12,Munirka,22:43,22:39,0:04
13,Munirka / Family Planning Association of India,22:45,22:43,0:02
14,D.D.A. Flats Munirka / Family Planning Association of India,22:47,22:45,0:02
15,I.S.T.M.,22:48,22:47,0:01
16,Ber Sarai,22:50,22:48,0:02
17,School of Physical Science,22:51,22:50,0:01
18,F.A.I.,22:55,22:51,0:04
19,Sanskrit Vidyapeeth,22:56,22:55,0:01
20,Katwaria Sarai,22:58,22:56,0:02
21,Qutub Hotel,23:02,22:58,0:04
22,NCERT,23:05,23:02,0:03
23,Adhchini Village,23:09,23:05,0:04
24,The Mothers International School,23:10,23:09,0:01
25,I.I.T. Gate,23:12,23:10,0:02
26,Sarvapriya Vihar,23:13,23:12,0:01
27,Panchsheel Enclave,23:15,23:13,0:02
28,Swami Nagar,23:16,23:15,0:01
29,Masjid Moth,23:17,23:16,0:01
30,O.S. Communication,23:18,23:17,0:01
31,Pamposh Enclave,23:20,23:18,0:02
32,Nehru Place,23:21,23:20,0:01
33,Paras Cinema,23:22,23:21,0:01
34,Kalkaji Temple,23:23,23:22,0:01
35,Govind Puri Metro Station,23:24,23:23,0:01
36,Kalkaji Depot,23:26,23:24,0:02
37,C Lal Chowk,23:27,23:26,0:01
38,Okhla Phase 1,23:30,23:27,0:03
39,Tughlakabad Crossing,23:31,23:30,0:01
40,Tehkhand Depot,23:32,23:31,0:01
41,Prem Nagar,23:33,23:32,0:01
42,Lal Kuan,23:34,23:33,0:01
43,Suraj Kund Crossing,23:35,23:34,0:01
44,Prahlad Pur,23:37,23:35,0:02
45,Rajiv Gandhi Stadium,23:39,23:37,0:02
46,Jaitpur Crossing,23:40,23:39,0:01
47,Badarpur Border,23:41,23:40,0:01
